contrast_0,contrast_45,contrast_90,contrast_135,dissimilarity_0,dissimilarity_45,dissimilarity_90,dissimilarity_135,homogeneity_0,homogeneity_45,homogeneity_90,homogeneity_135,energy_0,energy_45,energy_90,energy_135,correlation_0,correlation_45,correlation_90,correlation_135,label
482.2142463,578.4061822,214.8717831,637.2705575,8.643321078,10.27973856,5.844209559,10.51813918,0.600771773,0.550127356,0.636065629,0.55387903,0.461812273,0.4553961,0.463398492,0.455463281,0.9659985,0.959265967,0.984849135,0.955120465,shirt
749.4611213,1026.249658,479.5421875,949.8656209,11.90245098,14.18918877,6.689583333,13.50769704,0.584990576,0.563713064,0.745216749,0.56458371,0.505360841,0.502049872,0.507645132,0.501912016,0.945619959,0.925647388,0.965204968,0.931181434,shirt
525.1589154,830.5297347,464.8245098,712.3154479,8.425551471,11.51378701,7.827205882,10.49507113,0.665379639,0.619546199,0.665965829,0.625158437,0.547751332,0.542095394,0.547538806,0.542285642,0.961432366,0.939123509,0.965863321,0.947788426,shirt
372.5997396,516.5677355,303.7012408,517.572872,5.460922181,7.693118032,5.708379289,7.72509035,0.796996609,0.646290501,0.685603507,0.644582369,0.329531642,0.321891964,0.326248289,0.321875371,0.973153493,0.962760572,0.978117995,0.962688133,shirt
333.488511,510.8809227,226.8090686,515.9897578,6.577022059,8.437339485,5.048039216,8.463606305,0.586341666,0.558398605,0.600706547,0.560275136,0.500885477,0.496405755,0.504274725,0.496375566,0.97498317,0.961735713,0.982985847,0.961353069,shirt
738.4126225,1025.132364,603.790625,1035.006044,8.12120098,11.08358324,7.310569853,11.13768551,0.76072781,0.682099258,0.757713692,0.681205335,0.452129011,0.445601529,0.452134368,0.445281993,0.950680042,0.93159802,0.959671696,0.930939199,shirt
360.4603248,553.8417224,335.9207414,566.1852518,6.131801471,8.437831603,5.346354167,8.456255286,0.758769948,0.715940824,0.798574306,0.716471929,0.594186703,0.589911535,0.595611803,0.589965873,0.968881901,0.952280324,0.971000374,0.95121679,shirt
154.7793045,223.5217993,116.5136949,228.5944483,5.696400123,7.550742022,4.794883578,7.611257209,0.602705721,0.536013569,0.635752443,0.534931738,0.384143457,0.379718002,0.389126497,0.380128452,0.987560351,0.982049173,0.990640084,0.981641752,shirt
2230.57837,3206.341992,2207.606679,3230.691211,22.12984069,29.85544022,22.30637255,30.04379854,0.615543625,0.527409595,0.608633777,0.52643563,0.372712663,0.363855127,0.373023819,0.363884273,0.860305988,0.799142249,0.861744632,0.797616919,shirt
281.4768995,418.0431526,199.5388787,408.7377163,4.089093137,5.442183775,3.020159314,5.372825836,0.800359546,0.767693906,0.837701064,0.767204129,0.625281965,0.621233555,0.628040237,0.621299012,0.976401791,0.96503567,0.983271237,0.965813959,shirt
274.9070772,383.6079047,189.3854167,381.895148,5.687745098,7.58200692,4.489889706,7.591234141,0.758762916,0.69990819,0.783518621,0.699863675,0.51326153,0.507367224,0.513924953,0.507455947,0.98108098,0.973640847,0.986966554,0.973758537,shirt
397.8840686,574.2657593,314.1972273,568.5996002,7.991084559,11.12982699,8.231632966,11.15098808,0.596406596,0.507661776,0.564479073,0.505941142,0.368928418,0.36416489,0.372229744,0.364181271,0.97333117,0.961544751,0.978953393,0.961924181,shirt
237.9907782,363.836832,204.3804841,342.0022453,3.078615196,4.319815456,2.634068627,4.146343714,0.840872613,0.809735944,0.866385751,0.812269336,0.72678383,0.723720336,0.727488847,0.72361704,0.974555338,0.96121164,0.978148766,0.963539408,shirt
181.0896446,284.7408228,166.5453431,319.8747251,5.387898284,6.76662822,4.249724265,7.071434064,0.597694575,0.557235746,0.644754308,0.55434042,0.461078255,0.456169871,0.462359628,0.456197157,0.987036173,0.979641755,0.988077369,0.97712977,shirt
265.4022059,338.3398693,182.7077206,334.6617147,4.099540441,4.935916955,2.668995098,4.884459823,0.829168003,0.809082541,0.88243601,0.810347306,0.688067676,0.685155025,0.690176969,0.68522331,0.975041703,0.968268077,0.982818253,0.96861304,shirt
540.0382966,936.4724029,703.368076,1069.017701,6.88348652,10.28542868,8.586764706,11.2754479,0.734008665,0.710621837,0.729908401,0.707477389,0.682473253,0.679611249,0.683721272,0.679472852,0.948909256,0.911641397,0.933457314,0.899135404,shirt
1148.751225,1354.206367,903.3018842,1385.470711,8.323682598,9.789665513,6.562300858,9.9957401,0.839384345,0.822672067,0.876411043,0.821284104,0.553779327,0.551747279,0.559812937,0.551538124,0.94490602,0.934985338,0.956679414,0.933484355,shirt
271.2432292,449.9648135,292.2904718,455.5379316,5.92432598,8.280507497,6.433057598,8.28579777,0.654331193,0.605548129,0.639809011,0.606696624,0.525260549,0.519880904,0.526764391,0.520141349,0.979972621,0.966834599,0.978418587,0.966423823,shirt
208.2525735,281.2493349,143.4882659,304.927797,6.260079657,7.892656671,5.150367647,8.141607074,0.60550007,0.555044483,0.621897874,0.555484012,0.471176417,0.465533957,0.473362165,0.465534771,0.984897942,0.97963042,0.989594519,0.9779155,shirt
503.0467678,654.2400308,336.9231464,655.5982314,8.269745711,10.52512111,6.398299632,10.55930796,0.739633075,0.686643506,0.761848733,0.686264976,0.524828479,0.519682053,0.527830291,0.519706995,0.96634571,0.956304005,0.977459533,0.956213263,shirt
326.3921262,489.777501,265.5009804,503.3448674,4.61216299,6.404521338,3.928155637,6.490549789,0.743909155,0.674405005,0.760416031,0.673540204,0.481828998,0.475761083,0.483114052,0.475649155,0.976411764,0.964650191,0.980812344,0.963670963,shirt
568.565625,802.6874279,419.791973,758.354233,8.278125,10.28336794,5.261519608,9.937008843,0.609254373,0.570078155,0.749423251,0.57317732,0.385976237,0.38101683,0.388690023,0.381067066,0.960784474,0.944660371,0.971045799,0.947716831,shirt
289.0125919,399.2772165,187.6985141,410.0321569,6.306525735,8.359015763,5.060523897,8.28556709,0.659805246,0.590454553,0.684949893,0.593385597,0.430679649,0.428540256,0.43652313,0.428544633,0.97747056,0.968901035,0.985369764,0.968063352,shirt
490.2810662,665.1674279,366.6022672,686.632649,8.640931373,10.58863514,6.51004902,10.75244906,0.5998269,0.558986425,0.675024505,0.558673249,0.438986017,0.433639715,0.440740727,0.43358159,0.963358622,0.950325605,0.972601813,0.948722593,shirt
