contrast_0,contrast_45,contrast_90,contrast_135,dissimilarity_0,dissimilarity_45,dissimilarity_90,dissimilarity_135,homogeneity_0,homogeneity_45,homogeneity_90,homogeneity_135,energy_0,energy_45,energy_90,energy_135,correlation_0,correlation_45,correlation_90,correlation_135,red,green,blue,hue,saturation,value,label
824.8320236,978.863186,853.7249801,1016.250742,8.71574578,10.3033383,9.058402642,10.66428974,0.835604829,0.817102501,0.830014313,0.81355453,0.611939096,0.60268524,0.608251097,0.601077451,0.439308317,0.335791613,0.421651782,0.310422257,56.93762589,57.00439072,56.98440933,29.21417999,16.84834671,60.19573975,jahe
853.9300009,1007.165295,821.4384823,999.2940016,9.052210739,10.55946094,8.680922058,10.48187239,0.829387951,0.814007275,0.83455625,0.814756079,0.608287267,0.601469259,0.611700989,0.6017133,0.421609092,0.316912196,0.441880962,0.322250729,56.92222214,57.02448654,56.99101257,29.04068375,15.87213135,60.08610153,jahe
861.1577254,1011.915013,826.0079195,1022.90617,9.431644447,10.94913086,9.022887109,11.080411,0.815029434,0.798209714,0.819688774,0.797015343,0.599823874,0.592540049,0.602601717,0.592213664,0.453888535,0.357832111,0.474888094,0.350857051,57.48629379,57.51274109,57.48522568,29.0696907,16.00447464,60.93790817,jahe
627.3986668,738.7640251,616.846888,749.6825954,6.743991561,7.879201596,6.630813509,7.993286637,0.871819537,0.858913474,0.872912903,0.858137609,0.695986454,0.690221079,0.696372134,0.689939,0.438184657,0.338925563,0.447012379,0.329155206,41.75483704,41.76709366,41.74724579,19.75068283,12.92774582,44.65446091,jahe
614.194227,737.4599056,621.923358,748.6011083,6.756581764,8.017287005,6.811789078,8.134711494,0.865893788,0.851945238,0.866278118,0.850730103,0.692529645,0.686508253,0.692941128,0.686281163,0.468133741,0.361847582,0.460847787,0.352206671,42.07784653,42.13890457,42.12689972,19.75550079,11.26512146,44.41473389,jahe
1052.675682,1254.284041,1008.968234,1254.759161,11.94629862,14.00725717,11.42020472,14.07565458,0.751726746,0.729763742,0.758584599,0.728535841,0.514785471,0.50461828,0.519244314,0.504336773,0.475164846,0.372691873,0.494539205,0.37245425,73.99809265,74.10329437,74.09104538,35.53404617,17.37537003,77.32847595,jahe
1036.28912,1251.111481,1061.384051,1263.996496,11.40039063,13.66199195,11.72348948,13.75787087,0.773566319,0.748368708,0.768573904,0.747675596,0.531196963,0.517928105,0.527547296,0.517351276,0.450557936,0.337789603,0.439845869,0.330969595,73.20611572,73.34208679,73.34448242,36.25314713,18.34129333,76.57801056,jahe
897.5125902,1102.905932,940.5907381,1115.051114,9.426606837,11.46293098,9.862019936,11.55236844,0.819886742,0.797917503,0.815453297,0.797589584,0.583664599,0.572077696,0.580520446,0.571856977,0.455893553,0.332558765,0.431887101,0.325208913,62.37647247,62.52939987,62.52045441,31.44004059,18.23392868,65.91889954,jahe
930.696398,1163.499171,948.5405646,1155.429801,10.72867998,13.13613612,10.81382629,13.03167114,0.769772015,0.743955983,0.770251939,0.744914594,0.545927476,0.534619834,0.546957218,0.534785794,0.521951207,0.401655025,0.511379188,0.405804806,66.06850815,66.16074371,66.12763596,32.43590927,19.13892365,69.88248062,jahe
926.3755275,1139.944535,950.4542067,1152.760693,10.19594698,12.38829125,10.46848627,12.53073096,0.792389012,0.768446332,0.788866479,0.766771947,0.561508951,0.549693559,0.558756477,0.548931567,0.495964285,0.380548024,0.484221514,0.373583655,65.11240768,65.20126343,65.19587708,34.22787094,18.57661438,68.66450882,jahe
631.2205999,764.2803298,640.4935329,764.554065,6.705448875,8.078262568,6.821749633,8.054327304,0.868874584,0.853121496,0.867049393,0.853957153,0.688564092,0.681627591,0.68749091,0.68186737,0.465918689,0.354512106,0.458072779,0.354280918,43.34950638,43.34361267,43.33669662,22.42337036,10.95364761,45.46432495,jahe
613.2063585,759.788711,641.4399538,765.1701778,6.849628486,8.405605064,7.1598199,8.446789037,0.857910342,0.839453608,0.853861136,0.839853496,0.683933534,0.67608329,0.681964348,0.676255806,0.521469283,0.408145109,0.4994365,0.403953092,43.6413002,43.61202621,43.62958527,22.34072876,9.687263489,45.51584244,jahe
799.4715937,931.8418779,782.8310184,946.4337644,8.677096074,10.00918731,8.415748074,10.13591783,0.832086119,0.818101566,0.837273117,0.817122734,0.621355817,0.615395108,0.624692627,0.61474458,0.43023209,0.335250902,0.440553219,0.324841472,54.0794487,54.10823822,54.07902145,26.22481537,14.75095749,57.10355377,jahe
810.3087161,951.3003588,763.7431927,948.6307612,8.867944288,10.29195277,8.32906143,10.27317221,0.825156449,0.809666448,0.831997148,0.810125985,0.619430263,0.612748875,0.622839876,0.612970873,0.453167308,0.357650254,0.483381789,0.359452855,53.8631134,53.87490463,53.84038925,27.05207825,15.55079651,57.13724899,jahe
771.2135366,939.6444713,798.3594132,946.2749453,8.312821062,10.08837282,8.652978229,10.12182092,0.836679546,0.816236417,0.831962867,0.816583735,0.62371941,0.614342044,0.620675858,0.614403456,0.457175831,0.339800061,0.439363809,0.335141449,54.05880737,54.09466553,54.03990936,26.50736237,14.05456543,56.93891525,jahe
890.8080663,1136.108318,939.7435023,1113.962439,9.857616805,12.33171595,10.30739359,12.12421062,0.79660639,0.769817513,0.792646591,0.771949006,0.567386944,0.554369804,0.565683258,0.555409105,0.505716251,0.37069362,0.478563387,0.382960534,63.3297081,63.43887329,63.43161392,30.68935013,19.63176346,67.52819443,jahe
927.8019432,1092.352767,901.406078,1115.119416,9.776617539,11.42569537,9.513648942,11.62258493,0.813214575,0.794598512,0.817054788,0.79330685,0.579164787,0.569351926,0.581251875,0.568871545,0.443424084,0.345687686,0.459109683,0.33205061,62.25886536,62.36711121,62.35042191,30.00786209,19.45752335,66.30167007,jahe
883.3685444,1097.222579,906.1627706,1084.941912,9.539677868,11.69070661,9.759410164,11.58573611,0.80877705,0.78521737,0.806092016,0.785542593,0.579518703,0.567838288,0.57762131,0.568062442,0.487924121,0.365065115,0.475303079,0.372171625,61.85750961,61.9900589,61.95852661,30.08867264,19.56204987,65.92368698,jahe
